epoch,accuracy,loss,val_accuracy,val_loss
0,0.19066666066646576,3.111433982849121,0.20000000298023224,1.6118865013122559
1,0.19066666066646576,1.614040493965149,0.20000000298023224,1.6096442937850952
2,0.1706666648387909,1.6134309768676758,0.20000000298023224,1.609946370124817
3,0.19733333587646484,1.6109589338302612,0.20000000298023224,1.6095877885818481
4,0.19200000166893005,1.6128504276275635,0.20000000298023224,1.6098307371139526
5,0.18533332645893097,1.6113694906234741,0.20000000298023224,1.609673023223877
6,0.17800000309944153,1.610993504524231,0.20000000298023224,1.6096343994140625
7,0.1886666715145111,1.6108520030975342,0.20000000298023224,1.6098281145095825
8,0.1926666647195816,1.6112065315246582,0.20000000298023224,1.6095622777938843
9,0.1979999989271164,1.610507845878601,0.20000000298023224,1.6096820831298828
10,0.1899999976158142,1.611124038696289,0.20000000298023224,1.6094489097595215
11,0.1993333399295807,1.611088752746582,0.20000000298023224,1.609599232673645
12,0.18133333325386047,1.6113321781158447,0.20000000298023224,1.6096481084823608
13,0.18199999630451202,1.6112157106399536,0.20000000298023224,1.609486699104309
14,0.18799999356269836,1.6110033988952637,0.20000000298023224,1.609582543373108
15,0.20266667008399963,1.6108989715576172,0.20000000298023224,1.6098995208740234
