epoch,accuracy,loss,val_accuracy,val_loss
0,0.5822222232818604,7.194880962371826,0.800000011920929,0.5643975734710693
1,0.8111110925674438,0.47693851590156555,0.7166666388511658,0.596222460269928
2,0.8111110925674438,0.47243550419807434,0.800000011920929,0.49673500657081604
3,0.851111114025116,0.3772244453430176,0.8333333134651184,0.43308353424072266
4,0.8311111330986023,0.41059353947639465,0.75,0.4749031066894531
5,0.8777777552604675,0.33794429898262024,0.8666666746139526,0.428107351064682
6,0.8866666555404663,0.30847322940826416,0.5833333134651184,1.0079699754714966
7,0.8199999928474426,0.4403599500656128,0.7333333492279053,1.2965855598449707
8,0.8311111330986023,0.465299516916275,0.8166666626930237,0.4488319158554077
9,0.8666666746139526,0.3379938304424286,0.8166666626930237,0.5064094662666321
10,0.8777777552604675,0.3184381127357483,0.5666666626930237,0.7748129963874817
